"","rii","rii_infci","rii_supci","encuesta","ccaa","sexo","nombre","nombre_notilde","abreviatura","id_mapa","fr"
"1",2.90374127394678,1.7999520038161,4.68441012212876,2001-01-01,1,"Overall","Andalucía","Andalucia","AN",61,"diabetes"
"2",2.51934765261171,1.58015034883153,4.01677764360438,2001-01-01,2,"Overall","Aragón","Aragon","AR",62,"diabetes"
"3",2.38214180245798,1.48242609641559,3.82791397206145,2001-01-01,3,"Overall","Asturias","Asturias","AS",63,"diabetes"
"4",2.59347843563169,1.61710902085295,4.15935494104092,2001-01-01,4,"Overall","Balears","Balears","IB",64,"diabetes"
"5",2.65381970421917,1.6289896890818,4.32339079228404,2001-01-01,5,"Overall","Canarias","Canarias","CN",65,"diabetes"
"6",2.44733578946231,1.52299684143374,3.93267556664444,2001-01-01,6,"Overall","Cantabria","Cantabria","CB",66,"diabetes"
"7",2.38929895823115,1.49858300754876,3.80943163178013,2001-01-01,7,"Overall","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"8",2.09174783254322,1.28145993219402,3.41439391511681,2001-01-01,8,"Overall","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"9",2.30942828908631,1.4484876324306,3.68208806414344,2001-01-01,9,"Overall","Cataluña","Catalunya","CT",69,"diabetes"
"10",2.52186826035815,1.5879438448269,4.00506576055598,2001-01-01,10,"Overall","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"11",2.68317286738586,1.67631846680068,4.29477857510932,2001-01-01,11,"Overall","Extremadura","Extremadura","EX",70,"diabetes"
"12",2.41089970641721,1.51213112971675,3.84387126233647,2001-01-01,12,"Overall","Galicia","Galicia","GA",71,"diabetes"
"13",2.51431399264434,1.58318715189933,3.99306856806095,2001-01-01,13,"Overall","Madrid","Madrid","MD",72,"diabetes"
"14",2.57024185118773,1.60262033654316,4.12208869622006,2001-01-01,14,"Overall","Murcia","Murcia","MC",73,"diabetes"
"15",2.26369854505949,1.38952227358503,3.68783660421896,2001-01-01,15,"Overall","Navarra","Navarra","NC",74,"diabetes"
"16",2.35843909549046,1.46193368324319,3.80471086403762,2001-01-01,16,"Overall","País Vasco","Pais Vasco","PV",75,"diabetes"
"17",2.38452513572846,1.48100365024643,3.83926138330227,2001-01-01,17,"Overall","La Rioja","La Rioja","RI",76,"diabetes"
"18",2.83771740961221,1.7047185094352,4.72373594364514,2003-01-01,1,"Overall","Andalucía","Andalucia","AN",61,"diabetes"
"19",2.34667633142891,1.44895122264346,3.80060399441324,2003-01-01,2,"Overall","Aragón","Aragon","AR",62,"diabetes"
"20",2.37263226699844,1.44218597395135,3.90336889699363,2003-01-01,3,"Overall","Asturias","Asturias","AS",63,"diabetes"
"21",2.6939270528875,1.63107613092174,4.44935881820427,2003-01-01,4,"Overall","Balears","Balears","IB",64,"diabetes"
"22",2.76765391713015,1.66262885947032,4.60710648764161,2003-01-01,5,"Overall","Canarias","Canarias","CN",65,"diabetes"
"23",2.4645272398666,1.51576460285176,4.00714893633023,2003-01-01,6,"Overall","Cantabria","Cantabria","CB",66,"diabetes"
"24",2.33263842926053,1.43464868439281,3.79270695387417,2003-01-01,7,"Overall","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"25",2.70202096884967,1.64240232116846,4.44526729048286,2003-01-01,8,"Overall","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"26",2.56510650454378,1.59004131472765,4.13811346831565,2003-01-01,9,"Overall","Cataluña","Catalunya","CT",69,"diabetes"
"27",2.62478765647458,1.60801419748578,4.28448346560212,2003-01-01,10,"Overall","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"28",2.58054340797064,1.59023213113417,4.18756743122233,2003-01-01,11,"Overall","Extremadura","Extremadura","EX",70,"diabetes"
"29",2.6064783003887,1.61252294654171,4.21310539795251,2003-01-01,12,"Overall","Galicia","Galicia","GA",71,"diabetes"
"30",2.44244600929348,1.50513109391691,3.96347037970566,2003-01-01,13,"Overall","Madrid","Madrid","MD",72,"diabetes"
"31",2.56254268016508,1.58223752452489,4.15021441843218,2003-01-01,14,"Overall","Murcia","Murcia","MC",73,"diabetes"
"32",2.37026082065224,1.43792341516769,3.90711793038284,2003-01-01,15,"Overall","Navarra","Navarra","NC",74,"diabetes"
"33",2.45468882086303,1.50380716117011,4.00682837723786,2003-01-01,16,"Overall","País Vasco","Pais Vasco","PV",75,"diabetes"
"34",2.39168945223717,1.45947969658131,3.91932717484286,2003-01-01,17,"Overall","La Rioja","La Rioja","RI",76,"diabetes"
"35",2.83204764644607,1.76586384279607,4.54196619091598,2006-01-01,1,"Overall","Andalucía","Andalucia","AN",61,"diabetes"
"36",2.31868450232752,1.45714639620485,3.68960719069574,2006-01-01,2,"Overall","Aragón","Aragon","AR",62,"diabetes"
"37",2.40367784550572,1.50170330418799,3.84740925112311,2006-01-01,3,"Overall","Asturias","Asturias","AS",63,"diabetes"
"38",2.52439138997305,1.56480309784011,4.07243051765817,2006-01-01,4,"Overall","Balears","Balears","IB",64,"diabetes"
"39",2.61169647342312,1.62846849577667,4.18857256801741,2006-01-01,5,"Overall","Canarias","Canarias","CN",65,"diabetes"
"40",2.66979048688014,1.65493213177957,4.30699308265357,2006-01-01,6,"Overall","Cantabria","Cantabria","CB",66,"diabetes"
"41",2.33030695676181,1.45586467141781,3.72996928859058,2006-01-01,7,"Overall","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"42",2.69932029844108,1.67980883793922,4.33759479591432,2006-01-01,8,"Overall","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"43",2.33730837450765,1.45737955828072,3.74851589381996,2006-01-01,9,"Overall","Cataluña","Catalunya","CT",69,"diabetes"
"44",2.28873668636491,1.3722339057318,3.81736349585317,2006-01-01,10,"Overall","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"45",2.47440509135858,1.52482553463994,4.01533186390864,2006-01-01,11,"Overall","Extremadura","Extremadura","EX",70,"diabetes"
"46",2.4133118119754,1.51958914655207,3.83266352950385,2006-01-01,12,"Overall","Galicia","Galicia","GA",71,"diabetes"
